id_a,id_utilisateur,id_reseau,type,description,date
712,328,36,Post,Like sur un post,2022-09-26 19:13:08
713,304,32,Like,Like sur un post,2020-07-20 22:39:15
714,320,32,Like,Demande d'ami,2024-10-28 04:50:29
715,316,35,Like,Partage d'un article,2022-06-25 09:04:45
716,333,36,Post,Publication d'une photo,2024-01-17 23:02:58
717,363,40,Post,Publication sur le mur,2022-05-16 10:31:20
718,381,32,Like,Demande d'ami,2021-10-07 04:13:44
719,336,37,Commentaire,Publication d'une vidéo,2020-08-23 07:00:00
720,314,40,Post,Invitation à un événement,2023-11-22 15:26:47
721,330,39,Commentaire,Demande d'ami,2023-04-21 02:48:38
722,395,34,Commentaire,Invitation à un événement,2023-07-21 12:42:07
723,380,32,Commentaire,Message privé,2023-02-09 21:46:02
724,368,36,Like,Message privé,2021-04-13 18:58:22
725,354,39,Post,Invitation à un événement,2020-09-06 01:27:19
726,320,34,Commentaire,Demande d'ami,2022-05-25 11:40:08
727,303,36,Commentaire,Réaction à une story,2021-04-11 14:18:52
728,359,33,Post,Commentaire sur une photo,2020-06-17 08:16:25
729,365,35,Like,Partage d'un article,2024-10-04 01:52:26
730,391,38,Like,Demande d'ami,2020-05-15 16:12:13
731,382,38,Post,Réaction à une story,2021-07-08 20:53:37
732,315,34,Post,Commentaire sur une photo,2020-10-31 05:08:42
733,353,31,Commentaire,Publication sur le mur,2024-11-30 11:17:01
734,400,39,Like,Publication d'une vidéo,2020-05-10 09:50:23
735,312,32,Like,Publication d'une photo,2023-12-27 09:17:41
736,357,39,Like,Like sur un post,2024-06-06 20:00:19
737,358,40,Commentaire,Commentaire sur une photo,2022-07-20 00:26:16
738,312,31,Commentaire,Invitation à un événement,2020-04-14 04:52:53
739,363,33,Post,Publication d'une vidéo,2023-07-04 00:04:58
740,367,31,Like,Réaction à une story,2022-01-18 15:24:28
741,322,37,Post,Partage d'un article,2021-12-02 10:49:41
742,310,35,Like,Demande d'ami,2023-02-25 00:57:08
743,335,37,Commentaire,Réaction à une story,2020-10-06 18:32:25
744,384,36,Like,Publication sur le mur,2021-03-30 13:39:32
745,368,39,Post,Invitation à un événement,2021-09-14 13:42:51
746,361,36,Post,Demande d'ami,2023-03-03 06:40:59
747,339,33,Commentaire,Réaction à une story,2024-01-30 10:42:24
748,306,34,Post,Réaction à une story,2022-10-03 03:35:17
749,320,35,Like,Commentaire sur une photo,2021-12-14 23:57:35
750,356,38,Like,Réaction à une story,2025-02-05 12:49:11
751,365,33,Commentaire,Invitation à un événement,2022-08-29 19:43:34
752,384,39,Like,Invitation à un événement,2021-06-07 00:18:32
753,321,32,Commentaire,Partage d'un article,2020-08-26 08:01:27
754,383,39,Like,Partage d'un article,2020-03-28 01:31:56
755,312,32,Post,Demande d'ami,2023-10-08 11:40:01
756,362,39,Post,Invitation à un événement,2023-11-06 08:48:22
757,314,40,Post,Message privé,2022-10-13 15:57:54
758,389,38,Post,Publication sur le mur,2020-05-24 08:32:54
759,387,31,Like,Publication sur le mur,2021-02-12 09:47:07
760,333,35,Commentaire,Réaction à une story,2025-05-10 03:57:10
761,343,33,Commentaire,Commentaire sur une photo,2021-07-05 01:32:03
762,311,33,Commentaire,Like sur un post,2021-08-13 21:29:08
763,390,32,Like,Publication d'une photo,2020-05-30 05:37:58
764,400,32,Commentaire,Commentaire sur une photo,2023-01-02 01:15:34
765,385,39,Commentaire,Publication sur le mur,2023-12-26 09:39:21
766,394,31,Like,Commentaire sur une photo,2020-11-30 11:22:01
767,355,36,Post,Message privé,2020-12-05 22:56:52
768,333,40,Commentaire,Publication d'une vidéo,2022-12-19 19:41:06
769,362,38,Post,Réaction à une story,2020-02-04 09:24:28
770,363,37,Post,Message privé,2021-12-25 08:54:59
771,321,35,Like,Partage d'un article,2023-08-13 23:50:18
772,332,35,Like,Publication d'une photo,2021-03-22 22:36:54
773,337,38,Like,Publication d'une vidéo,2020-05-11 08:10:31
774,396,39,Like,Publication sur le mur,2022-06-22 07:32:00
775,372,32,Like,Partage d'un article,2021-07-02 03:45:43
776,362,33,Like,Réaction à une story,2020-05-11 00:35:39
777,397,31,Like,Partage d'un article,2024-03-19 20:54:26
778,371,31,Like,Like sur un post,2024-07-15 07:35:25
779,340,31,Like,Like sur un post,2020-10-05 15:12:12
780,399,38,Commentaire,Réaction à une story,2021-06-11 22:17:14
781,310,31,Post,Commentaire sur une photo,2020-12-28 13:40:54
782,328,33,Like,Invitation à un événement,2022-09-24 12:35:25
783,326,38,Like,Publication sur le mur,2021-05-29 01:16:27
784,316,39,Post,Invitation à un événement,2022-10-15 08:49:09
785,346,36,Commentaire,Publication sur le mur,2021-07-30 18:27:33
786,386,34,Like,Publication sur le mur,2022-02-12 13:38:59
787,310,34,Like,Publication d'une photo,2021-07-17 08:55:09
788,370,32,Commentaire,Publication d'une photo,2021-05-02 02:28:16
789,399,39,Post,Publication sur le mur,2021-04-29 19:16:51
790,338,40,Post,Publication d'une photo,2020-11-10 09:49:01
791,331,38,Post,Message privé,2022-02-03 16:26:52
792,357,34,Commentaire,Demande d'ami,2023-03-21 10:09:50
793,371,35,Commentaire,Réaction à une story,2020-09-13 00:17:27
794,375,37,Post,Publication d'une vidéo,2025-04-22 00:45:37
795,323,40,Like,Like sur un post,2023-01-25 14:21:49
796,323,33,Post,Partage d'un article,2022-12-16 10:16:19
797,383,38,Commentaire,Demande d'ami,2020-10-31 10:41:51
798,383,40,Like,Demande d'ami,2024-05-15 07:52:32
799,338,33,Post,Invitation à un événement,2022-11-16 20:36:50
800,332,32,Post,Publication d'une photo,2022-01-13 18:39:05
